
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=16
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: protein
Kernel mode: auto
Creating GIN model...
Using MaxK-accelerated GIN model
Model parameters: 228,467 total, 228,467 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 16, Nonlinearity: maxk
Starting training...
Epoch 0073/1000| Loss 0.3166 | Train Accuracy 0.7234 | Val Accuracy 0.7209 | Test Accuracy 0.6861 | Best val. Accuracy 0.7378 | Best test Accuracy 0.6837
Epoch 0074/1000| Loss 0.3193 | Train Accuracy 0.7268 | Val Accuracy 0.7283 | Test Accuracy 0.6920 | Best val. Accuracy 0.7378 | Best test Accuracy 0.6837
Epoch 0075/1000| Loss 0.3284 | Train Accuracy 0.7153 | Val Accuracy 0.7177 | Test Accuracy 0.6892 | Best val. Accuracy 0.7378 | Best test Accuracy 0.6837
Epoch 0076/1000| Loss 0.3201 | Train Accuracy 0.7371 | Val Accuracy 0.7349 | Test Accuracy 0.6897 | Best val. Accuracy 0.7378 | Best test Accuracy 0.6837
Epoch 0077/1000| Loss 0.3146 | Train Accuracy 0.7334 | Val Accuracy 0.7393 | Test Accuracy 0.6963 | Best val. Accuracy 0.7393 | Best test Accuracy 0.6963
Epoch 0078/1000| Loss 0.3142 | Train Accuracy 0.7381 | Val Accuracy 0.7475 | Test Accuracy 0.7001 | Best val. Accuracy 0.7475 | Best test Accuracy 0.7001
Epoch 0079/1000| Loss 0.3130 | Train Accuracy 0.7392 | Val Accuracy 0.7458 | Test Accuracy 0.6848 | Best val. Accuracy 0.7475 | Best test Accuracy 0.7001
Epoch 0080: Avg Forward 20.736ms, Avg Backward 10.896ms, Total per epoch 31.631ms
Epoch 0080/1000| Loss 0.3140 | Train Accuracy 0.7366 | Val Accuracy 0.7458 | Test Accuracy 0.6712 | Best val. Accuracy 0.7475 | Best test Accuracy 0.7001
Epoch 0081/1000| Loss 0.3194 | Train Accuracy 0.7365 | Val Accuracy 0.7407 | Test Accuracy 0.6884 | Best val. Accuracy 0.7475 | Best test Accuracy 0.7001
